,CompanyName,CIN_Number,gst
233,EVEREST INFRA ENERGY LIMITED - EVEREST,U45203AR2006PLC008234,10AABCE7178B1Z5
234,PREMIER CRYOGENICS LIMITED - Premier Cryogenics,L24111AS1994PLC004051,18AABCP6683N1ZP
235,TORSA MACHINES LIMITED   ,U29299AS1998PLC005610,19AABCT4889Q1Z9
236,NATIONAL PLYWOOD INDUSTRIES LTD   ,L20211AS1973PLC001856,19AABCN0420B1Z7
237,GREENPLY INDUSTRIES LTD   ,L20211AS1990PLC003484,24AAACG7284R1ZZ
238,KITPLY INDUSTRIES LIMITED   ,L20211AS1982PLC001969,24AAACK8228P1Z5
239,U F M INDUSTRIES LIMITED   ,L15311AS1986PLC002539,09AACCB3948F1ZO
240,JAMES WARREN TEA LIMITED   ,L15491AS2009PLC009345,18AADCD2743H7ZL
241,SANKHA PRESS PVT LTD   ,U55100AS1988PTC003001,18AAHCS6892E1ZW
242,OIL INDIA LIMITED   ,L11101AS1959GOI001148,37VPNO00356G1D3
243,DNP LIMITED   ,U51410AS2007SGC008410,24AACCD4546M1ZJ
244,HIMATSINGKA RESORTS PRIVATE LIMITED   ,U55101AS2008PTC008719,18AACCH1245F1ZX
245,LITTLE INDIA PRIVATE LIMITED   ,U55101AS1999PTC005875,29AADCL1172C1ZT
246,GREENLAM INDUSTRIES LIMITED   ,L21016AS2013PLC011624,09AAFCG2966D1ZK
247,KYANG TEA SEED CO LTD   ,L01132AS1928PLC001394,18AAACK9034B2ZS
248,B & A LIMITED   ,L01132AS1915PLC000200,08AACAT1916D1ZS
249,SONAI RIVER TEA CO LTD   ,L01132AS1970PLC001320,18AADCS2263H1ZD
